,rank,conf,imp,score
addition,2.3559231110190297,-0.17949590367771698,0.0,-0.4228785478075791
addition year,2.3559231110190297,-0.17949590367771698,0.0,-0.4228785478075791
addition year payment,2.3559231110190297,-0.17949590367771698,0.003097652143393195,-0.4228785478075791
addition year payment free,2.3559231110190297,-0.17949590367771698,0.003907762518010115,-0.4228785478075791
addition year payment free quote,2.3559231110190297,-0.17949590367771698,0.0,-0.4228785478075791
affordable,4.34780489697076,-0.5741779217964503,0.007760144172751034,-2.4964135801191008
certified,4.953933511836689,-0.32184930410705725,0.009260413787524562,-1.5944200533772686
classic,6.848475247314584,-0.2458287773268422,0.021330497089491078,-1.6835522966004872
classic great,2.428781680906099,-0.2025505505106188,0.004547574166072291,-0.49195106653763643
classic great price,2.428781680906099,-0.2025505505106188,0.0,-0.49195106653763643
classic great price quote,2.152917691397411,-0.12605154952477074,0.0018668631785802008,-0.2713786109999358
classic quality,5.683702516533744,-0.3083576143087488,0.0005806580138332688,-1.7526129484389772
classic quality great price quote,3.2946475617434956,-0.3306338961896959,0.0,-1.0893221599111336
easy installation,3.2594373717291747,-0.18695790719638483,0.004931670357888734,-0.6093775896561715
free estimate,4.488509246856554,-0.1966543100755148,0.007042872680627636,-0.8826846892081442
free obligation,4.908679854173831,-0.27552253761516693,0.00753660707525228,-1.3524519297624213
free quote,21.022475399962058,-0.07868021147431715,0.034760789877319044,-1.6540528101826448
free quote today,11.94460289596178,-0.43669273310705464,0.023841235328435323,-5.216121284515989
gallery,2.7806759343551364,-0.28575118045118864,0.0007700837014721469,-0.7945814306941922
great,9.638097275815465,-0.41923852026718567,0.007729413597098675,-4.0406616401040685
great price,8.50491134332125,-0.9760172651776476,0.01209281938149571,-8.30094030988676
great price free,5.107284308711312,-0.6194668159046846,0.0,-3.163793148637354
great price free quote,5.107284308711312,-0.6194668159046846,0.00849687177275481,-3.163793148637354
great price quote,4.625180209891769,-0.4049636292727182,0.00391938764034078,-1.8730297638381233
high,3.3316358091881537,-0.4290680014452559,0.0024468424663624555,-1.429498318191809
high quality,3.3316358091881537,-0.808331722790792,0.006316056959606467,-2.693066913352555
home free,3.127743570868175,-0.5207597478310098,0.00041584519879495996,-1.628802953245373
home free quote,3.127743570868175,-0.5207597478310098,0.0035454018672902944,-1.628802953245373
installation free,3.7709602129848636,-0.3701092790863127,0.002942100795133287,-1.395667365890996
installation free quote,3.7709602129848636,-0.5200290030389834,0.009996232139300098,-1.961008680058191
installation lifetime,2.159188619729511,-0.29463772625710916,0.0,-0.6361784254773291
installation lifetime warranty,2.159188619729511,-0.29463772625710916,0.0,-0.6361784254773291
installation lifetime warranty free,2.159188619729511,-0.29463772625710916,0.0,-0.6361784254773291
installation lifetime warranty free estimate,2.159188619729511,-0.29463772625710916,0.0029902823127477777,-0.6361784254773291
lifetime warranty,3.9797945664548804,-0.25924836544697893,0.009443905284855354,-1.0317552361681959
lifetime warranty free,2.562274381379778,-0.5866147521863656,0.00262436854022654,-1.5030679512665717
lifetime warranty free estimate,2.159188619729511,-0.29463772625710916,0.009654826375780873,-0.6361784254773291
month free,2.722994182626153,-0.42883429062712547,0.0034452864472361983,-1.1677132786882756
month free quote,2.02753664090175,-0.18879539646271104,0.005099929027943617,-0.38278958396171925
month free quote today,2.02753664090175,-0.18879539646271104,0.012257522759527035,-0.38278958396171925
obligation,4.908679854173831,-0.27552253761516693,0.008616390552052915,-1.3524519297624213
online,2.7806759343551364,-0.2798514458804545,0.0,-0.7781761807542688
online gallery,2.7806759343551364,-0.8701342359436463,0.014138640280099068,-2.4195613295469913
pay,2.4707599515407597,-0.39772438162302537,0.00513492968183463,-0.9826814738654848
pay year,2.4707599515407597,-0.39772438162302537,0.0035555427268435685,-0.9826814738654848
pay year free,2.4707599515407597,-0.39772438162302537,1.464734536658935e-05,-0.9826814738654848
pay year free quote,2.4707599515407597,-0.39772438162302537,0.005320905199254754,-0.9826814738654848
pay year free quote today,2.4707599515407597,-0.39772438162302537,0.0,-0.9826814738654848
payment,5.522876454444982,-0.6612534024330627,0.01175248244007691,-3.6520208467191946
payment free,2.3559231110190297,-0.1760413160547542,0.0003926352083419564,-0.41473980498760077
payment free quote,2.3559231110190297,-0.17949590367771698,0.0016405026810580134,-0.4228785478075791
payment month,3.6627641388588557,-0.6754824266408455,0.0014047223506726896,-2.4741328087294465
payment month free,2.722994182626153,-0.42883429062712547,0.00010290041608617564,-1.1677132786882756
payment month free quote,2.02753664090175,-0.18879539646271104,0.004755447574254732,-0.38278958396171925
payment month free quote today,2.02753664090175,-0.18879539646271104,4.776308271714064e-05,-0.38278958396171925
plus pay,1.650079238242742,-0.24659733416218632,0.0,-0.4069051413070313
plus pay year,1.650079238242742,-0.24659733416218632,0.004591176983793522,-0.4069051413070313
