,rank,conf,imp,score
installation,12.75681998,-0.363644443,0.036041812,-0.995333405
sale,12.06356549,-0.359606032,0.033179707,-0.99427395
rate home,7.203079475,-0.624288185,0.023825788,-0.987207959
quality great,6.487478064,-0.960713672,0.018138857,-0.986548743
today,6.478013454,-0.79868467,0.020119312,-0.985387157
rate,8.424111765,-0.90978181,0.009404148,-0.983796813
install,7.243244363,-0.472133927,0.019530768,-0.979748199
quality great price,6.487478064,-0.960713672,0.011835083,-0.979530793
quality,8.813921077,-0.272084993,0.02198919,-0.978937837
company,5.189612078,-0.806867351,0.019507916,-0.976954221
free cost quote,3.336122379,-1.089205019,0.02100279,-0.962208124
install free,3.811399279,-0.972774207,0.01755658,-0.961254822
year,5.539110447,-0.974937499,0.005807941,-0.945572804
remodels,3.754943204,-1.236408238,0.008050895,-0.933488579
great price,6.487478064,-0.234944758,0.014028618,-0.93275859
installs,6.272544085,-0.281001888,0.011633533,-0.927860307
project,3.917035664,-0.479607949,0.01111338,-0.891043912
installation company,2.969602801,-0.596593883,0.01101679,-0.852855257
event,3.480459771,-0.384128986,0.012351073,-0.851789993
classic quality great price,5.15279586,-0.600372357,0.003568432,-0.8504856
free,12.27423143,-0.003774942,0.057806091,-0.766766644
cost quote sale fair,2.62646784,-0.285205273,0.013601882,-0.727971844
expert,3.098167839,-1.132536081,0.002328034,-0.71677503
sale fair price,2.62646784,-0.285205273,0.012767977,-0.715263927
fair,2.62646784,-0.285205273,0.011769078,-0.698386062
bow classic,3.220151281,-0.219250184,0.007871293,-0.641516471
remodeling installation company,2.430032146,-0.502016306,0.005681556,-0.62745784
quote sale fair,2.62646784,-0.285205273,0.007073181,-0.581871044
fair price,2.62646784,-0.285205273,0.006649468,-0.566770149
free fall,2.655953079,-0.215028615,0.006553326,-0.49850265
bow classic quality,3.220151281,-0.219250184,0.004251652,-0.491510178
great,6.487478064,-0.234944758,0.000915875,-0.475240759
install free sale,2.237399754,-0.352930387,0.005010456,-0.469559202
fall,2.655953079,-0.215028615,0.005743963,-0.465601234
installation expert,2.308581338,-0.6439477,0.001759973,-0.376564083
sale event,2.536903662,-0.205419187,0.004386921,-0.367078342
expert high quality,1.721901664,-0.188446139,0.008458732,-0.320936742
free sale event,2.536903662,-0.205419187,0.003115892,-0.291753388
free cost,3.336122379,-0.840200743,0.000419473,-0.281742157
home remodeling installation company,2.430032146,-0.502016306,0.000995379,-0.227843183
event free,1.566448257,-0.236816429,0.004483948,-0.206700554
home remodeling installation,2.430032146,-0.502016306,0.000792178,-0.19017577
game time saving event free,1.566448257,-0.236816429,0.003837116,-0.182319269
game time,1.566448257,-0.236816429,0.00284371,-0.141811628
game time saving event,1.566448257,-0.236816429,0.002819414,-0.140770577
expert high,1.721901664,-0.188446139,0.002109963,-0.105457993
game time saving,1.566448257,-0.236816429,0.001860944,-0.09758508
installation expert high quality,1.721901664,-0.188446139,0.001734158,-0.088334067
saving,3.659656257,-0.162705909,0.000442081,-0.087870406
bow,3.420173747,-0.079765025,0.000460713,-0.041215509
saving event free,1.566448257,-0.236816429,0.000713825,-0.039827655
time saving event free,1.566448257,-0.236816429,0.000543983,-0.030641754
quote sale,2.62646784,-0.285205273,4.51E-05,-0.008791276
bow classic quality great,3.220151281,-0.219250184,0,0
bow classic quality great price,3.220151281,-0.219250184,0,0
classic quality great,5.15279586,-0.600372357,0,0
cost quote sale,2.62646784,-0.285205273,0,0
cost quote sale fair price,2.62646784,-0.285205273,0,0
free cost quote sale,2.62646784,-0.285205273,0,0
free cost quote sale fair,2.62646784,-0.285205273,0,0
game,1.566448257,-0.236816429,0,0
installation expert high,1.721901664,-0.188446139,0,0
quote sale fair price,2.62646784,-0.285205273,0,0
remodeling installation,2.430032146,-0.502016306,0,0
sale fair,2.62646784,-0.285205273,0,0
saving event,1.566448257,-0.236816429,0,0
time,1.566448257,-0.236816429,0,0
time saving,1.566448257,-0.236816429,0,0
time saving event,1.566448257,-0.236816429,0,0
