,rank,conf,imp,score
free,26.85093462,0.921167388,0.037504034,0.99959868
quality,10.30219198,0.483291241,0.026527185,0.992704407
expert,7.633487693,1.07311352,0.006322874,0.975331317
home,7.412676178,0.708477706,0.009347395,0.97325397
today,15.2667176,0.095733336,0.01530314,0.971546959
quote today,11.46472162,0.137671298,0.016907841,0.968349996
installation,8.776640514,0.765634602,0.004598663,0.964439707
best,4.698404984,0.983154733,0.011228151,0.96058123
save,5.964292831,0.771272448,0.006809971,0.949197444
estimate,8.071881069,0.422482263,0.006533128,0.947323244
deal,7.000416535,0.851216998,0.003517634,0.93619872
energy,4.402189583,0.567835991,0.011987197,0.92953285
classic quality great price free,4.835833984,0.748364561,0.005749909,0.909606606
price,12.21717838,0.037145716,0.017842567,0.908194066
easy,4.375249374,0.749665307,0.006085786,0.897262331
zip,4.174203041,0.7302664,0.006561908,0.893041993
home today,4.491452669,0.47264113,0.007456022,0.876681188
quality great price free,4.835833984,0.748364561,0.004041799,0.876137065
price zip,4.174203041,0.7302664,0.004588353,0.853764503
rate,3.26954724,0.85963541,0.006295105,0.852612916
multiple,3.957819274,0.419630505,0.007934521,0.839113052
expert classic quality great,2.477225412,0.554998712,0.011611839,0.79817532
classic quality great price,5.501398667,0.251305706,0.004988186,0.791403619
contact,2.34503799,0.624047204,0.010549518,0.783565896
price free quote,5.877914539,0.125821493,0.007546649,0.766388804
pro,2.977548248,0.719948954,0.004860045,0.756224034
home today free quote,4.491452669,0.47264113,0.002853182,0.731212559
quality great,6.175893712,0.220848439,0.003031009,0.718561873
classic quality great,5.501398667,0.251305706,0.003340131,0.717550712
perfect home today free quote,4.491452669,0.47264113,0.002516593,0.705837826
perfect home today,4.491452669,0.47264113,0.002189429,0.676118158
great price free quote today,3.734975266,0.327124501,0.003667155,0.625954182
compare price,2.345210716,0.929377564,0.003227837,0.622632609
financing,5.208824363,0.327699426,0.001801552,0.615647203
professional,4.077798487,0.081579175,0.011792882,0.615346897
experience,2.604008064,0.809778181,0.002802654,0.606133991
perfect home today free,4.491452669,0.47264113,0.001515823,0.591049749
beautiful,2.368423404,0.774082334,0.002430875,0.513506232
quality great price free quote,4.835833984,0.748364561,0.0005439,0.487669483
plus,3.439600567,0.208101666,0.003544462,0.465998423
lifetime,2.725162302,0.448260388,0.002611484,0.465059196
price zip free,3.035712702,0.538988552,0.00163173,0.447664128
multiple free quote,2.287962937,0.232384299,0.006433408,0.439025066
expert classic quality,2.477225412,0.554998712,0.002284728,0.437614423
buy,2.52311481,0.399753309,0.002811236,0.417053704
zip free,3.035712702,0.538988552,0.001412145,0.412256811
free quote homeowner,2.403232005,0.266336516,0.004516754,0.409953604
year,5.400599015,0.060997098,0.003727344,0.398720707
guarantee,2.320509895,1.41987201,0.000855413,0.395412902
bbb rating,1.911826362,0.306736819,0.005289588,0.372269732
monday free,2.179579293,0.183973549,0.006459556,0.360839088
right,2.522602338,0.642746281,0.00128427,0.344384086
price zip free quote,2.42841705,0.388401123,0.002277665,0.342838187
end monday free quote,2.179579293,0.183973549,0.005575297,0.327626654
feldco,2.403232005,0.266336516,0.003050612,0.319383053
perfect home,4.491452669,0.47264113,0.000468926,0.308964914
free price,2.309695182,0.064082078,0.01254503,0.300142373
homeowner choose feldco,2.403232005,0.266336516,0.002654442,0.289931622
obligation quote,3.045710271,0.171809844,0.002481126,0.283377082
rating,2.101419888,0.41681259,0.002003979,0.269464281
quality great price,6.175893712,0.220848439,0.000434618,0.267990261
dealer,2.731397148,0.733818003,0.000660947,0.265703007
durable,3.35100964,0.934828311,0.000325281,0.254544376
expert installation,2.456630398,0.154751274,0.003568087,0.249944117
company,2.108001738,0.229401599,0.003104067,0.240366367
deal end,2.179579293,0.183973549,0.003604933,0.239580398
free obligation quote,3.045710271,0.171809844,0.001848796,0.227593581
free quote deal,2.179579293,0.183973549,0.003335872,0.225735349
price free quote today,3.734975266,0.327124501,0.0005752,0.207912445
local deal,1.925501974,0.306002496,0.00228251,0.205690901
multiple free,2.287962937,0.232384299,0.002108606,0.204143239
