,rank,conf,imp,score
best,9.459475999273687,0.693435838502115,0.023067984662868007,6.559539671346982
best installation,1.7807694806852727,0.2398533395023563,0.0,0.42712350682623945
best installation installation,1.7807694806852727,0.2398533395023563,0.0,0.42712350682623945
best installation installation quote,1.7807694806852727,0.2398533395023563,0.0,0.42712350682623945
best remodels,2.2505170782176314,0.6738894919771147,0.0,1.5165998105259
best remodels quote,2.2505170782176314,0.6926984040864448,0.0,1.5589295884506418
best remodels quote today,1.8422959423975451,0.31785005935653754,0.0,0.585573874643368
buy,3.142066258034841,0.2562493822912697,0.001772545095257606,0.8051525377396692
buy free,3.142066258034841,0.5547573900104013,0.007147759724337732,1.7430844765471563
cheap,3.1027999089068707,0.3132110125200219,0.0,0.9718311011157528
compare,6.609662569410933,0.5444293528309184,0.0,3.5984943150951394
consultation,3.2714086780536276,0.29347213991150745,0.0009021062627090433,0.9600673052734738
contractor home,2.95958104224987,1.1735833527205304,0.005983662318034641,3.473315042211724
cost,6.0547673803840505,0.14240374410059226,0.006171829319357372,0.8622215446248237
deal,4.767898731750272,0.5147338560875734,8.634217541165541e-06,2.454198899628868
efficient,3.4307375206540596,0.2558474215004486,0.002445822526719191,0.8777453485041832
efficient feldco,2.9936999114013276,0.017030535116297707,0.0017924338053783115,0.050984311468777646
energy,3.4307375206540596,0.2558474215004486,0.0,0.8777453485041832
energy efficient,3.4307375206540596,0.2558474215004486,0.002852933352728889,0.8777453485041832
energy efficient feldco,2.9936999114013276,0.017030535116297707,0.0007426193181461463,0.050984311468777646
enter zip,1.721631432393474,0.34867781015747495,0.0,0.6002946777452334
enter zip free,1.721631432393474,0.34867781015747495,0.0,0.6002946777452334
enter zip free quote,1.721631432393474,0.34867781015747495,0.0,0.6002946777452334
estimate,7.118575615326834,0.8427215573455422,0.010122908706867727,5.998977128630231
fast free,5.084111690674708,0.6891728469961355,0.0012855011286393835,3.503831728308624
fast free quote,5.084111690674708,0.6891728469961355,5.737778127696359e-06,3.503831728308624
feldco,10.962988992480229,1.709897634735717,0.033515125449149,18.745588947875646
free consultation,3.2714086780536276,0.29347213991150745,0.0020944980973483457,0.9600673052734738
free estimate,6.538794613123991,0.6298378129306259,0.015467525676995613,4.1183800983325725
free quote,17.655045503170836,0.17836729168124307,0.06218045734736781,3.1490826509096914
free quote today,3.6576601993033413,0.582143864811914,0.00014468843872131573,2.1292844445911627
glass,3.573739378024923,0.42594904340496137,0.0011889615845970148,1.5222308694483577
home,25.556663010836086,0.011066276712132124,0.02974257131278183,0.28281710471662386
home home,3.078902717424568,0.865350385986098,0.007270008231704174,2.664329654936996
home remodeling,3.508084169735539,0.7734159400858328,0.0006238513967117031,2.7132082160362403
hurry,5.156992340589375,0.4128909747741343,0.0,2.1292755944086914
hurry free,5.156992340589375,0.4128909747741343,0.0002853456207663499,2.1292755944086914
hurry free quote,5.156992340589375,0.4128909747741343,0.0037419306690726134,2.1292755944086914
installation installation,1.7807694806852727,0.2398533395023563,0.0,0.42712350682623945
installation installation quote,1.7807694806852727,0.2398533395023563,7.178782616137162e-05,0.42712350682623945
installation quote,2.7256260603125604,0.7130898150847864,0.0001319753987450263,1.9436161833385586
local,3.963487069995935,0.660127002065292,0.00011194069062380005,2.6164048372409647
multiple,3.207181214324826,0.24084923227286476,5.522865000069745e-05,0.7724471332300885
multiple free,1.8099255181169218,0.26177667568031654,0.0,0.4737962853616223
multiple free quote,1.8099255181169218,0.26177667568031654,0.0,0.4737962853616223
multiple free quote today,1.8099255181169218,0.26177667568031654,0.0,0.4737962853616223
naperville,2.7548193148479774,0.2538204309534721,0.0,0.6992294256936624
near,3.4424334868412396,0.7141397183433956,0.008494395880589322,2.458378480708676
perfect home,3.459416961385732,0.8809213245412523,0.005967060417338163,3.047474171764393
price,7.889541983372718,0.6156885249960752,0.017404600396844445,4.857500466637358
pricing,5.047098437940894,0.1722868208052383,0.0027059763694105956,0.869548544163921
pro,7.102105754104185,0.5426564192756832,0.0032252487893431117,3.854003277839403
quote,25.96036507940733,0.9385382035518437,0.07152040714204265,24.364794405176973
quote today,5.69475995800317,1.3606107144834547,0.000728679189446011,7.748351415270461
remodeling,4.645870386586848,0.3133169320149688,0.01756797735758218,1.4556298560645884
remodels quote today,1.8422959423975451,0.31785005935653754,0.0,0.585573874643368
repair,3.5289872288817348,0.5971383925235548,0.00399180434342617,2.1072937610905935
sale buy,2.771212832708353,0.5702412091156569,0.0009282741476826911,1.580259756440436
sale buy free,2.771212832708353,0.5702412091156569,0.0,1.580259756440436
save,7.698662337556232,0.07068700834240353,0.011326493702436023,0.5441954088801852
save free,2.6429464794169637,0.43861404656607406,0.0002856669174754183,1.1592334501946335
save free quote,2.6429464794169637,0.43861404656607406,0.0,1.1592334501946335
zip,3.4182212489861894,0.561915512269587,0.0009671294471414144,1.9207515441748622
zip free,1.721631432393474,0.34867781015747495,0.0,0.6002946777452334
zip free quote,1.721631432393474,0.34867781015747495,0.00011518827317557238,0.6002946777452334
